"","Country","Factor","Value","type"
"1","Afghanistan","GDP per Capita",0.35,"0.35"
"2","Afghanistan","Family",0.517,"0.517"
"3","Afghanistan","Life Expectancy",0.361,"0.361"
"4","Afghanistan","Freedom",0,"0"
"5","Afghanistan","Government Corruption",0.025,"0.025"
"6","Afghanistan","Generosity",0.158,"0.158"
"7","Afghanistan","GDP per Capita",0.38227,"0.38227"
"8","Afghanistan","Family",0.11037,"0.11037"
"9","Afghanistan","Life Expectancy",0.17344,"0.17344"
"10","Afghanistan","Freedom",0.1643,"0.1643"
"11","Afghanistan","Government Corruption",0.07112,"0.07112"
"12","Afghanistan","Generosity",0.31268,"0.31268"
"13","Afghanistan","GDP per Capita",0.31982,"0.31982"
"14","Afghanistan","Family",0.30285,"0.30285"
"15","Afghanistan","Life Expectancy",0.30335,"0.30335"
"16","Afghanistan","Freedom",0.23414,"0.23414"
"17","Afghanistan","Government Corruption",0.09719,"0.09719"
"18","Afghanistan","Generosity",0.3651,"0.3651"
"19","Afghanistan","GDP per Capita",0.332,"0.332"
"20","Afghanistan","Family",0.537,"0.537"
"21","Afghanistan","Life Expectancy",0.255,"0.255"
"22","Afghanistan","Freedom",0.085,"0.085"
"23","Afghanistan","Government Corruption",0.036,"0.036"
"24","Afghanistan","Generosity",0.191,"0.191"
"25","Afghanistan","GDP per Capita",0.401477217674255,"0.401477217674255"
"26","Afghanistan","Family",0.581543326377869,"0.581543326377869"
"27","Afghanistan","Life Expectancy",0.180746778845787,"0.180746778845787"
"28","Afghanistan","Freedom",0.106179520487785,"0.106179520487785"
"29","Afghanistan","Government Corruption",0.0611578300595284,"0.0611578300595284"
"30","Afghanistan","Generosity",0.311870932579041,"0.311870932579041"
"31","Albania","GDP per Capita",0.916,"0.916"
"32","Albania","Family",0.817,"0.817"
"33","Albania","Life Expectancy",0.79,"0.79"
"34","Albania","Freedom",0.419,"0.419"
"35","Albania","Government Corruption",0.032,"0.032"
"36","Albania","Generosity",0.149,"0.149"
"37","Albania","GDP per Capita",0.996192753314972,"0.996192753314972"
"38","Albania","Family",0.803685247898102,"0.803685247898102"
"39","Albania","Life Expectancy",0.731159746646881,"0.731159746646881"
"40","Albania","Freedom",0.381498634815216,"0.381498634815216"
"41","Albania","Government Corruption",0.0398642159998417,"0.0398642159998417"
"42","Albania","Generosity",0.201312944293022,"0.201312944293022"
"43","Albania","GDP per Capita",0.9553,"0.9553"
"44","Albania","Family",0.50163,"0.50163"
"45","Albania","Life Expectancy",0.73007,"0.73007"
"46","Albania","Freedom",0.31866,"0.31866"
"47","Albania","Government Corruption",0.05301,"0.05301"
"48","Albania","Generosity",0.1684,"0.1684"
"49","Albania","GDP per Capita",0.87867,"0.87867"
"50","Albania","Family",0.80434,"0.80434"
"51","Albania","Life Expectancy",0.81325,"0.81325"
"52","Albania","Freedom",0.35733,"0.35733"
"53","Albania","Government Corruption",0.06413,"0.06413"
"54","Albania","Generosity",0.14272,"0.14272"
"55","Albania","GDP per Capita",0.947,"0.947"
"56","Albania","Family",0.848,"0.848"
"57","Albania","Life Expectancy",0.874,"0.874"
"58","Albania","Freedom",0.383,"0.383"
"59","Albania","Government Corruption",0.027,"0.027"
"60","Albania","Generosity",0.178,"0.178"
"61","Algeria","GDP per Capita",0.979,"0.979"
"62","Algeria","Family",1.154,"1.154"
"63","Algeria","Life Expectancy",0.687,"0.687"
"64","Algeria","Freedom",0.077,"0.077"
"65","Algeria","Government Corruption",0.135,"0.135"
"66","Algeria","Generosity",0.055,"0.055"
"67","Algeria","GDP per Capita",1.002,"1.002"
"68","Algeria","Family",1.16,"1.16"
"69","Algeria","Life Expectancy",0.785,"0.785"
"70","Algeria","Freedom",0.086,"0.086"
"71","Algeria","Government Corruption",0.114,"0.114"
"72","Algeria","Generosity",0.073,"0.073"
"73","Algeria","GDP per Capita",1.05266,"1.05266"
"74","Algeria","Family",0.83309,"0.83309"
"75","Algeria","Life Expectancy",0.61804,"0.61804"
"76","Algeria","Freedom",0.21006,"0.21006"
"77","Algeria","Government Corruption",0.16157,"0.16157"
"78","Algeria","Generosity",0.07044,"0.07044"
"79","Algeria","GDP per Capita",1.09186446666718,"1.09186446666718"
"80","Algeria","Family",1.1462174654007,"1.1462174654007"
"81","Algeria","Life Expectancy",0.617584645748138,"0.617584645748138"
"82","Algeria","Freedom",0.233335807919502,"0.233335807919502"
"83","Algeria","Government Corruption",0.146096110343933,"0.146096110343933"
"84","Algeria","Generosity",0.0694366469979286,"0.0694366469979286"
"85","Algeria","GDP per Capita",0.93929,"0.93929"
"86","Algeria","Family",1.07772,"1.07772"
"87","Algeria","Life Expectancy",0.61766,"0.61766"
"88","Algeria","Freedom",0.28579,"0.28579"
"89","Algeria","Government Corruption",0.17383,"0.17383"
"90","Algeria","Generosity",0.07822,"0.07822"
"91","Angola","GDP per Capita",0.858428180217743,"0.858428180217743"
"92","Angola","Family",1.10441195964813,"1.10441195964813"
"93","Angola","Life Expectancy",0.0498686656355858,"0.0498686656355858"
"94","Angola","Freedom",0,"0"
"95","Angola","Government Corruption",0.0697203353047371,"0.0697203353047371"
"96","Angola","Generosity",0.097926490008831,"0.097926490008831"
"97","Angola","GDP per Capita",0.84731,"0.84731"
"98","Angola","Family",0.66366,"0.66366"
"99","Angola","Life Expectancy",0.04991,"0.04991"
"100","Angola","Freedom",0.00589,"0.00589"
"101","Angola","Government Corruption",0.08434,"0.08434"
"102","Angola","Generosity",0.12071,"0.12071"
"103","Angola","GDP per Capita",0.75778,"0.75778"
"104","Angola","Family",0.8604,"0.8604"
"105","Angola","Life Expectancy",0.16683,"0.16683"
"106","Angola","Freedom",0.10384,"0.10384"
"107","Angola","Government Corruption",0.07122,"0.07122"
"108","Angola","Generosity",0.12344,"0.12344"
"109","Angola","GDP per Capita",0.73,"0.73"
"110","Angola","Family",1.125,"1.125"
